,is_holiday,day_of_week_x,is_weekend_x,is_release_day,batch_number,batch_size_ratio,rollback_flag,impact_score,days_since_last_release,daily_mean,daily_std,daily_min,daily_max,rolling_mean_7d,rolling_std_7d,rolling_min_7d,rolling_max_7d,rolling_q25_7d,rolling_q50_7d,rolling_q75_7d,rolling_mean_14d,rolling_std_14d,rolling_min_14d,rolling_max_14d,rolling_q25_14d,rolling_q50_14d,rolling_q75_14d,rolling_mean_30d,rolling_std_30d,rolling_min_30d,rolling_max_30d,rolling_q25_30d,rolling_q50_30d,rolling_q75_30d,trend_7d,trend_14d,day_of_week_y,day_of_month,month,is_weekend_y,date,version_id
2020-01-01,-0.13978350322516925,-0.5019266566345462,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01,
2020-01-02,-0.13978350322516925,-0.001711891734770029,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02,
2020-01-03,-0.13978350322516925,0.4985028731650061,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-03,
2020-01-04,-0.13978350322516925,0.9987176380647822,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-04,
2020-01-05,-0.13978350322516925,1.4989324029645583,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-05,
2020-01-06,-0.13978350322516925,-1.5023561864340984,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-06,
2020-01-07,-0.13978350322516925,-1.0021414215343223,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-07,
2020-01-08,-0.13978350322516925,-0.5019266566345462,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-08,
2020-01-09,-0.13978350322516925,-0.001711891734770029,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-09,
2020-01-10,-0.13978350322516925,0.4985028731650061,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-10,
2020-01-11,-0.13978350322516925,0.9987176380647822,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-11,
2020-01-12,-0.13978350322516925,1.4989324029645583,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-12,
2020-01-13,-0.13978350322516925,-1.5023561864340984,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-13,
2020-01-14,-0.13978350322516925,-1.0021414215343223,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-14,
2020-01-15,-0.13978350322516925,-0.5019266566345462,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-15,
2020-01-16,-0.13978350322516925,-0.001711891734770029,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-16,
2020-01-17,-0.13978350322516925,0.4985028731650061,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-17,
2020-01-18,-0.13978350322516925,0.9987176380647822,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-18,
2020-01-19,-0.13978350322516925,1.4989324029645583,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-19,
2020-01-20,-0.13978350322516925,-1.5023561864340984,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-20,
2020-01-21,-0.13978350322516925,-1.0021414215343223,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-21,
2020-01-22,-0.13978350322516925,-0.5019266566345462,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-22,
2020-01-23,-0.13978350322516925,-0.001711891734770029,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-23,
2020-01-24,-0.13978350322516925,0.4985028731650061,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-24,
2020-01-25,-0.13978350322516925,0.9987176380647822,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-25,
2020-01-26,-0.13978350322516925,1.4989324029645583,1.5796250539304524,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-26,
2020-01-27,-0.13978350322516925,-1.5023561864340984,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-27,
2020-01-28,-0.13978350322516925,-1.0021414215343223,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-28,
2020-01-29,-0.13978350322516925,-0.5019266566345462,-0.633061622764074,-0.13721680612390447,,,,,-0.537968084322099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-29,
